Step :211, avg score : -118.28717803955078, avg_cover_radius :  85.97, avg_sent_package:  47.06
Step :212, avg score : -179.74951171875, avg_cover_radius :  86.31, avg_sent_package:  67.57
Step :213, avg score : -128.38510131835938, avg_cover_radius :  87.33, avg_sent_package:  58.54
Step :214, avg score : -101.07120513916016, avg_cover_radius :  87.36, avg_sent_package:  48.78
Step :215, avg score : -127.60869598388672, avg_cover_radius :  88.16, avg_sent_package:  60.47
Step :216, avg score : -75.9936752319336, avg_cover_radius :  86.20, avg_sent_package:  46.30
Step :217, avg score : -88.06934356689453, avg_cover_radius :  85.89, avg_sent_package:  50.98
Step :218, avg score : -68.27172088623047, avg_cover_radius :  84.02, avg_sent_package:  27.27
Step :219, avg score : -143.8214874267578, avg_cover_radius :  87.28, avg_sent_package:  55.56
Step :220, avg score : -111.47039794921875, avg_cover_radius :  86.30, avg_sent_package:  45.95
Step :221, avg score : -96.33614349365234, avg_cover_radius :  83.54, avg_sent_package:  35.90
Step :222, avg score : -109.5910415649414, avg_cover_radius :  84.83, avg_sent_package:  58.18
Step :223, avg score : -115.08782196044922, avg_cover_radius :  84.94, avg_sent_package:  56.82
Step :224, avg score : -95.08843231201172, avg_cover_radius :  84.99, avg_sent_package:  48.84
Step :225, avg score : -92.5710220336914, avg_cover_radius :  87.28, avg_sent_package:  47.73
Step :226, avg score : -128.37623596191406, avg_cover_radius :  86.52, avg_sent_package:  55.56
Step :227, avg score : -161.28634643554688, avg_cover_radius :  86.05, avg_sent_package:  53.57
Step :228, avg score : -146.59710693359375, avg_cover_radius :  83.46, avg_sent_package:  50.00
Step :229, avg score : -105.9739990234375, avg_cover_radius :  82.70, avg_sent_package:  42.50
Step :230, avg score : -146.83242797851562, avg_cover_radius :  83.84, avg_sent_package:  54.05
Step :231, avg score : -137.0989532470703, avg_cover_radius :  83.87, avg_sent_package:  56.10
Step :232, avg score : -90.50965118408203, avg_cover_radius :  83.50, avg_sent_package:  43.48
Step :233, avg score : -72.8900146484375, avg_cover_radius :  81.94, avg_sent_package:  40.74
Step :234, avg score : -109.03130340576172, avg_cover_radius :  83.93, avg_sent_package:  58.82
Step :235, avg score : -148.66122436523438, avg_cover_radius :  84.32, avg_sent_package:  61.11
Step :236, avg score : -97.91554260253906, avg_cover_radius :  87.14, avg_sent_package:  48.84
Step :237, avg score : -89.47484588623047, avg_cover_radius :  88.30, avg_sent_package:  42.86
Step :238, avg score : -73.05477905273438, avg_cover_radius :  90.17, avg_sent_package:  46.43
Step :239, avg score : -100.67144775390625, avg_cover_radius :  88.96, avg_sent_package:  50.00
Step :240, avg score : -84.75212860107422, avg_cover_radius :  85.06, avg_sent_package:  42.22
Step :241, avg score : -84.56613159179688, avg_cover_radius :  83.44, avg_sent_package:  40.43
Step :242, avg score : -97.02388763427734, avg_cover_radius :  83.53, avg_sent_package:  55.36
Step :243, avg score : -91.71549224853516, avg_cover_radius :  83.40, avg_sent_package:  44.44
Step :244, avg score : -127.32266998291016, avg_cover_radius :  81.60, avg_sent_package:  45.45
Step :245, avg score : -120.73283386230469, avg_cover_radius :  78.88, avg_sent_package:  39.39
Step :246, avg score : -135.1053466796875, avg_cover_radius :  81.82, avg_sent_package:  57.78
Step :247, avg score : -131.65646362304688, avg_cover_radius :  81.72, avg_sent_package:  53.85
Step :248, avg score : -111.33153533935547, avg_cover_radius :  82.05, avg_sent_package:  53.33
Step :249, avg score : -151.6282196044922, avg_cover_radius :  86.42, avg_sent_package:  67.39
Step :250, avg score : -80.31415557861328, avg_cover_radius :  88.02, avg_sent_package:  53.57
Step :251, avg score : -90.94903564453125, avg_cover_radius :  85.53, avg_sent_package:  53.19
Step :252, avg score : -103.79955291748047, avg_cover_radius :  87.10, avg_sent_package:  60.78
Step :253, avg score : -73.03970336914062, avg_cover_radius :  87.94, avg_sent_package:  43.75
Step :254, avg score : -97.6605224609375, avg_cover_radius :  90.79, avg_sent_package:  59.62
Step :255, avg score : -90.49739074707031, avg_cover_radius :  89.87, avg_sent_package:  57.14
Step :256, avg score : -73.75834655761719, avg_cover_radius :  89.43, avg_sent_package:  42.22
Step :257, avg score : -100.14053344726562, avg_cover_radius :  88.77, avg_sent_package:  40.00
Step :258, avg score : -108.44682312011719, avg_cover_radius :  87.58, avg_sent_package:  47.50
Step :259, avg score : -127.28961944580078, avg_cover_radius :  88.18, avg_sent_package:  52.63
Step :260, avg score : -109.0984878540039, avg_cover_radius :  86.70, avg_sent_package:  52.27
Step :261, avg score : -123.8671646118164, avg_cover_radius :  84.05, avg_sent_package:  53.85
Step :262, avg score : -95.38793182373047, avg_cover_radius :  85.83, avg_sent_package:  42.86
Step :263, avg score : -92.44914245605469, avg_cover_radius :  85.50, avg_sent_package:  46.81
Step :264, avg score : -118.09376525878906, avg_cover_radius :  85.81, avg_sent_package:  59.57
Step :265, avg score : -97.87872314453125, avg_cover_radius :  85.42, avg_sent_package:  48.84
Step :266, avg score : -109.38909149169922, avg_cover_radius :  87.95, avg_sent_package:  53.49
Step :267, avg score : -131.98048400878906, avg_cover_radius :  87.73, avg_sent_package:  57.89
Step :268, avg score : -107.34735870361328, avg_cover_radius :  87.15, avg_sent_package:  45.95
Step :269, avg score : -113.5214614868164, avg_cover_radius :  86.09, avg_sent_package:  53.49
Step :270, avg score : -113.1046142578125, avg_cover_radius :  85.25, avg_sent_package:  52.38
Step :271, avg score : -107.56858825683594, avg_cover_radius :  85.50, avg_sent_package:  58.00
Step :272, avg score : -81.043701171875, avg_cover_radius :  84.48, avg_sent_package:  43.48
Step :273, avg score : -98.34442138671875, avg_cover_radius :  87.48, avg_sent_package:  52.17
Step :274, avg score : -122.53606414794922, avg_cover_radius :  86.90, avg_sent_package:  57.50
Step :275, avg score : -118.54077911376953, avg_cover_radius :  86.24, avg_sent_package:  47.06
Step :276, avg score : -150.07554626464844, avg_cover_radius :  87.14, avg_sent_package:  58.33
Step :277, avg score : -115.88404083251953, avg_cover_radius :  86.87, avg_sent_package:  48.65
Step :278, avg score : -114.7445068359375, avg_cover_radius :  85.30, avg_sent_package:  44.44
Step :279, avg score : -121.77091979980469, avg_cover_radius :  86.24, avg_sent_package:  59.18
Step :280, avg score : -77.35243225097656, avg_cover_radius :  84.82, avg_sent_package:  44.44
Step :281, avg score : -73.46257781982422, avg_cover_radius :  85.28, avg_sent_package:  53.73
Step :282, avg score : -85.45469665527344, avg_cover_radius :  85.10, avg_sent_package:  42.86
Step :283, avg score : -112.16341400146484, avg_cover_radius :  85.42, avg_sent_package:  59.57
Step :284, avg score : -73.69830322265625, avg_cover_radius :  88.13, avg_sent_package:  49.09
Step :285, avg score : -66.46379852294922, avg_cover_radius :  89.01, avg_sent_package:  45.45
Step :286, avg score : -63.743324279785156, avg_cover_radius :  88.49, avg_sent_package:  38.46
Step :287, avg score : -86.12933349609375, avg_cover_radius :  88.90, avg_sent_package:  47.92
Step :288, avg score : -96.27847290039062, avg_cover_radius :  87.27, avg_sent_package:  51.06
Step :289, avg score : -61.88634490966797, avg_cover_radius :  85.90, avg_sent_package:  35.09
Step :290, avg score : -119.29129791259766, avg_cover_radius :  85.89, avg_sent_package:  56.52
Step :291, avg score : -89.5476303100586, avg_cover_radius :  84.80, avg_sent_package:  47.92
Step :292, avg score : -90.30747985839844, avg_cover_radius :  84.78, avg_sent_package:  43.18
Step :293, avg score : -97.09504699707031, avg_cover_radius :  82.33, avg_sent_package:  48.89
Step :294, avg score : -139.55154418945312, avg_cover_radius :  81.30, avg_sent_package:  51.52
Step :295, avg score : -110.07489776611328, avg_cover_radius :  84.68, avg_sent_package:  55.10
Step :296, avg score : -74.4589614868164, avg_cover_radius :  85.01, avg_sent_package:  43.64
Step :297, avg score : -138.87823486328125, avg_cover_radius :  86.12, avg_sent_package:  63.64
Step :298, avg score : -95.09373474121094, avg_cover_radius :  87.29, avg_sent_package:  56.00
Step :299, avg score : -101.07073974609375, avg_cover_radius :  86.44, avg_sent_package:  53.49
Step :300, avg score : -107.33185577392578, avg_cover_radius :  86.41, avg_sent_package:  50.00
Step :301, avg score : -80.3329849243164, avg_cover_radius :  86.81, avg_sent_package:  53.45
Step :302, avg score : -74.66026306152344, avg_cover_radius :  85.87, avg_sent_package:  46.15
Step :303, avg score : -82.29096984863281, avg_cover_radius :  88.63, avg_sent_package:  49.02
Step :304, avg score : -91.57453155517578, avg_cover_radius :  87.48, avg_sent_package:  52.08
Step :305, avg score : -94.31493377685547, avg_cover_radius :  88.43, avg_sent_package:  53.06
Step :306, avg score : -139.76980590820312, avg_cover_radius :  86.08, avg_sent_package:  65.12
Step :307, avg score : -95.78912353515625, avg_cover_radius :  86.89, avg_sent_package:  45.00
Step :308, avg score : -98.38162994384766, avg_cover_radius :  85.62, avg_sent_package:  43.59
