
Step :4700, avg score : -0.9, avg_cover_radius :  96.05, avg_sent_package:  50.31
Step :4725, avg score : -1.0, avg_cover_radius :  95.02, avg_sent_package:  50.21
Step :4750, avg score : -1.0, avg_cover_radius :  95.42, avg_sent_package:  49.53
Step :4775, avg score : -0.7, avg_cover_radius :  97.22, avg_sent_package:  49.80
Step :4800, avg score : -1.0, avg_cover_radius :  92.18, avg_sent_package:  50.94
Step :4825, avg score : -1.2, avg_cover_radius :  91.70, avg_sent_package:  50.57
Step :4850, avg score : -1.1, avg_cover_radius :  94.39, avg_sent_package:  50.07
Step :4875, avg score : -1.3, avg_cover_radius :  92.87, avg_sent_package:  49.87
Step :4900, avg score : -1.2, avg_cover_radius :  91.97, avg_sent_package:  48.90
Step :4925, avg score : -1.2, avg_cover_radius :  93.87, avg_sent_package:  49.63
Step :4950, avg score : -1.4, avg_cover_radius :  91.42, avg_sent_package:  49.85
Step :4975, avg score : -0.9, avg_cover_radius :  95.91, avg_sent_package:  50.33
Step :5000, avg score : -1.2, avg_cover_radius :  93.40, avg_sent_package:  50.76
Step :5025, avg score : -1.6, avg_cover_radius :  89.94, avg_sent_package:  49.23
Step :5050, avg score : -1.1, avg_cover_radius :  93.08, avg_sent_package:  50.51
Step :5075, avg score : -1.4, avg_cover_radius :  92.98, avg_sent_package:  50.93
Step :5100, avg score : -1.0, avg_cover_radius :  94.66, avg_sent_package:  50.85
Step :5125, avg score : -1.0, avg_cover_radius :  95.74, avg_sent_package:  49.79
Step :5150, avg score : -1.0, avg_cover_radius :  94.50, avg_sent_package:  49.36
Step :5175, avg score : -1.0, avg_cover_radius :  94.47, avg_sent_package:  49.35
Step :5200, avg score : -1.5, avg_cover_radius :  90.29, avg_sent_package:  49.83
Step :5225, avg score : -0.9, avg_cover_radius :  95.60, avg_sent_package:  49.72
Step :5250, avg score : -1.2, avg_cover_radius :  93.02, avg_sent_package:  50.74
Step :5275, avg score : -1.1, avg_cover_radius :  94.34, avg_sent_package:  49.17
Step :5300, avg score : -1.2, avg_cover_radius :  92.85, avg_sent_package:  49.04
Step :5325, avg score : -1.0, avg_cover_radius :  94.82, avg_sent_package:  49.65
Step :5350, avg score : -0.9, avg_cover_radius :  94.21, avg_sent_package:  49.89
Step :5375, avg score : -1.0, avg_cover_radius :  94.55, avg_sent_package:  49.93
